,Category-en,Category-zh
0,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",[{'translation_text': 'zheng 运动和户外娱乐滑板滑板滑板滑板滑板长板'}]
1,Toys & Games | Learning & Education | Science Kits & Toys,[{'translation_text': 'zheng 玩具游戏学习教育科学套件玩具'}]
2,Toys & Games | Arts & Crafts | Craft Kits,[{'translation_text': 'zheng 玩具和游戏'}]
3,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,[{'translation_text': 'zheng 玩具和游戏趣味 模特和模型套餐 机器人和飞机套餐'}]
4,Toys & Games | Puzzles | Jigsaw Puzzles,[{'translation_text': 'zheng 玩具游戏拼图'}]
5,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",[{'translation_text': 'zheng 衣服鞋子和珠宝 服装和配件 儿童和婴儿女孩服装'}]
6,Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons,[{'translation_text': 'zheng 玩具游戏艺术和工艺绘画用品'}]
7,Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,[{'translation_text': 'zheng 家庭和厨房家庭装修窗口治疗窗口贴纸和电影窗口电影'}]
8,Toys & Games | Baby & Toddler Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝宝'}]
9,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",[{'translation_text': 'zheng 玩具和游戏 收藏玩具'}]
10,Baby Products | Nursery | Décor | Window Treatments | Valances,[{'translation_text': 'zheng 婴儿产品护理院装饰窗外治疗'}]
11,Toys & Games | Building Toys | Building Sets,[{'translation_text': 'zheng 玩具游戏'}]
12,Toys & Games | Arts & Crafts | Craft Kits,[{'translation_text': 'zheng 玩具和游戏'}]
13,Toys & Games | Baby & Toddler Toys | Musical Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝玩具音乐玩具'}]
14,Toys & Games | Learning & Education | Flash Cards,[{'translation_text': 'zheng 玩具游戏学习教育闪卡'}]
15,Home & Kitchen | Furniture | Kids' Furniture | Tables & Chairs | Tables,[{'translation_text': 'zheng 家具厨房儿童家具桌子椅子'}]
16,Toys & Games | Novelty & Gag Toys | Money Banks,[{'translation_text': 'zheng 玩具游戏新奇之路玩具钱银行'}]
17,Toys & Games | Baby & Toddler Toys | Musical Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝玩具音乐玩具'}]
18,Toys & Games | Sports & Outdoor Play | Slumber Bags,[{'translation_text': 'zheng 玩具和游戏 运动和户外播放睡袋'}]
19,Toys & Games | Hobbies | Hobby Building Tools & Hardware | RC Linkages,[{'translation_text': 'zheng 玩具和游戏趣味趣味建材工具和硬件'}]
20,Toys & Games | Building Toys | Building Sets,[{'translation_text': 'zheng 玩具游戏'}]
21,Toys & Games | Party Supplies | Party Tableware | Plates,[{'translation_text': 'zheng 玩具游戏聚会用餐'}]
22,Toys & Games | Baby & Toddler Toys | Teaching Clocks,[{'translation_text': 'zheng 玩具和游戏宝宝宝宝宝宝玩具教钟'}]
23,"Toys & Games | Tricycles, Scooters & Wagons | Balance Bikes","[{'translation_text': 'zheng 玩具游戏 三轮车,轮轮轮车和车轮平衡自行车'}]"
