,Category-en,Category-zh
0,"Sports Outdoors Outdoor Recreation Skates, Skateboards Scooters Skateboarding Standard Skateboards Longboards Longboards",[{'translation_text': 'zh 电子产品 电子产品 '}]
1,Toys Games Learning Education Science Kits Toys,[{'translation_text': 'zh 五金/装修 '}]
2,Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zh 五金/装修 '}]
3,Toys Games Hobbies Models Model Kits Model Kits Airplane Jet Kits,[{'translation_text': 'zh 电子产品 '}]
4,Toys Games Puzzles Jigsaw Puzzles,[{'translation_text': 'zh 电子产品 '}]
5,"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Girls Costumes",[{'translation_text': 'zh 服饰 '}]
6,Toys Games Arts Crafts Drawing Painting Supplies Crayons,[{'translation_text': 'zh 五金/装修 '}]
7,Home Kitchen Home Decor Window Treatments Window Stickers Films Window Films,[{'translation_text': 'zh 艺术/娱乐 '}]
8,Toys Games Baby Toddler Toys,[{'translation_text': 'zh 五金/装修 '}]
9,"Toys Games Collectible Toys Statues, Bobbleheads Busts Statues",[{'translation_text': 'zh 五金/装修 '}]
10,Baby Products Nursery decor Window Treatments Valances,[{'translation_text': 'zh 电子产品 '}]
11,Toys Games Building Toys Building Sets,[{'translation_text': 'zh 五金/装修 '}]
12,Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zh 五金/装修 '}]
13,Toys Games Baby Toddler Toys Musical Toys,[{'translation_text': 'zh 五金/装修 '}]
14,Toys Games Learning Education Flash Cards,[{'translation_text': 'zh 电子产品 '}]
15,Home Kitchen Furniture Kids' Furniture Tables Chairs Tables,[{'translation_text': 'zh 电子产品 '}]
16,Toys Games Novelty Gag Toys Money Banks,[{'translation_text': 'zh 电子产品 '}]
17,Toys Games Baby Toddler Toys Musical Toys,[{'translation_text': 'zh 五金/装修 '}]
18,Toys Games Sports Outdoor Play Slumber Bags,[{'translation_text': 'zh 电子产品 '}]
19,Toys Games Hobbies Hobby Building Tools Hardware RC Linkages,[{'translation_text': 'zh 五金/装修 '}]
20,Toys Games Building Toys Building Sets,[{'translation_text': 'zh 五金/装修 '}]
21,Toys Games Party Supplies Party Tableware Plates,[{'translation_text': 'zh 电子产品 '}]
22,Toys Games Baby Toddler Toys Teaching Clocks,[{'translation_text': 'zh 五金/装修 '}]
23,"Toys Games Tricycles, Scooters Wagons Balance Bikes",[{'translation_text': 'zh 电子产品 '}]
24,Toys Games Kids' Electronics,[{'translation_text': 'zh 五金/装修 '}]
25,Home Kitchen Home decor Kids' Room decor,[{'translation_text': 'zh 办公用品 '}]
26,Baby Products Nursery decor Wall decor Growth Charts,[{'translation_text': 'zh 五金/装修 '}]
27,Toys Games Puzzles Jigsaw Puzzles,[{'translation_text': 'zh 电子产品 '}]
28,Sports Outdoors Sports Fitness Team Sports,[{'translation_text': 'zh 电子产品 '}]
29,Toys Games Dress Up Pretend Play Costumes,[{'translation_text': 'zh 五金/装修 '}]
30,Home Kitchen Bedding Kids' Bedding Comforters Sets Comforter Sets,[{'translation_text': 'zh 五金/装修 '}]
31,Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zh 五金/装修 '}]
32,"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Boys Costumes",[{'translation_text': 'zh 服饰 '}]
33,Toys Games Play Vehicles,[{'translation_text': 'zh 电子产品 '}]
34,Toys Games Novelty Gag Toys,[{'translation_text': 'zh 五金/装修 '}]
35,Toys Games Party Supplies,[{'translation_text': 'zh 电子产品 '}]
