Category-en,Category-zh
"Sports Outdoors Outdoor Recreation Skates, Skateboards Scooters Skateboarding Standard Skateboards Longboards Longboards",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储器'}]
Toys Games Learning Education Science Kits Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Arts Crafts Craft Kits,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Hobbies Models Model Kits Model Kits Airplane Jet Kits,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Puzzles Jigsaw Puzzles,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Girls Costumes",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存'}]
Toys Games Arts Crafts Drawing Painting Supplies Crayons,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Home Kitchen Home Decor Window Treatments Window Stickers Films Window Films,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Baby Toddler Toys,[{'generated_text': 'en 五金/装修 工具 刀/刀 刀/刀'}]
"Toys Games Collectible Toys Statues, Bobbleheads Busts Statues",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存'}]
