Category-en,Category-zh
"Sports Outdoors Outdoor Recreation Skates, Skateboards Scooters Skateboarding Standard Skateboards Longboards Longboards",[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Learning Education Science Kits Toys,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zheng/ 天堂 餐饮/餐饮 厨具/厨房DIY用品 食品/'}]
Toys Games Hobbies Models Model Kits Model Kits Airplane Jet Kits,[{'translation_text': 'zheng/ 天堂 餐饮 餐具 餐具 餐具 餐具 餐具 餐具 餐具 餐具'}]
Toys Games Puzzles Jigsaw Puzzles,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Girls Costumes",[{'translation_text': 'zheng 电子产品 电子配件 供电设备 电池 电池'}]
Toys Games Arts Crafts Drawing Painting Supplies Crayons,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Home Kitchen Home Decor Window Treatments Window Stickers Films Window Films,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Baby Toddler Toys,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
"Toys Games Collectible Toys Statues, Bobbleheads Busts Statues",[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Baby Products Nursery decor Window Treatments Valances,[{'translation_text': 'zheng 办公用品 办公耗材 办公耗材 办公耗材 办公耗材 办公耗材 办公耗材 办公耗材'}]
Toys Games Building Toys Building Sets,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zheng/ 天堂 餐饮/餐饮 厨具/厨房DIY用品 食品/'}]
Toys Games Baby Toddler Toys Musical Toys,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Learning Education Flash Cards,[{'translation_text': 'zheng/市政/医疗/服务 医疗/医院专用设备 医用家具 医用家具 医用家具 医用家具 医用家具'}]
Home Kitchen Furniture Kids' Furniture Tables Chairs Tables,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Novelty Gag Toys Money Banks,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Baby Toddler Toys Musical Toys,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Sports Outdoor Play Slumber Bags,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Hobbies Hobby Building Tools Hardware RC Linkages,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Building Toys Building Sets,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
Toys Games Party Supplies Party Tableware Plates,[{'translation_text': 'zheng/公仔 玩具 玩具车船飞机 玩具车船飞机'}]
